Timestamp,Type,Focus,Code,Description,TextValue
2024-04-19T16:20:20.255Z,Activity,Instructor,CLP,"Class Logistics, Planning, etc.",
2024-04-19T16:21:17.956Z,Activity,Instructor,IK,Instructor Asked,
2024-04-19T16:21:21.613Z,Activity,Student,SK,Student Asked,
2024-04-19T16:21:34.756Z,Activity,Instructor,IA,Instructor Answered,
2024-04-19T16:22:21.274Z,Activity,Student,SK,Student Asked,
2024-04-19T16:22:40.872Z,Activity,Instructor,IA,Instructor Answered,
2024-04-19T16:22:59.987Z,Activity,Student,SK,Student Asked,
2024-04-19T16:23:08.020Z,Activity,Instructor,IA,Instructor Answered,
2024-04-19T16:23:40.369Z,Activity,Student,SK,Student Asked,
2024-04-19T16:23:52.576Z,Activity,Instructor,IA,Instructor Answered,
2024-04-19T16:26:03.764Z,Activity,Instructor,IK,Instructor Asked,
2024-04-19T16:26:06.225Z,Activity,Student,SK,Student Asked,
2024-04-19T16:26:34.920Z,Activity,Instructor,IA,Instructor Answered,
2024-04-19T16:26:59.491Z,Activity,Instructor,CQA,Content Question Asked,
2024-04-19T16:27:01.349Z,Activity,Student,SA,Student Answered,
2024-04-19T16:27:05.161Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:27:06.907Z,Activity,Instructor,CQA,Content Question Asked,
2024-04-19T16:27:08.522Z,Activity,Student,SA,Student Answered,
2024-04-19T16:27:11.865Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:27:13.302Z,Activity,Student,SA,Student Answered,
2024-04-19T16:27:14.409Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:27:20.355Z,Activity,Instructor,CQA,Content Question Asked,
2024-04-19T16:27:24.300Z,Activity,Student,SA,Student Answered,
2024-04-19T16:27:28.535Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:27:46.519Z,Activity,Instructor,CQA,Content Question Asked,
2024-04-19T16:27:48.331Z,Activity,Student,SA,Student Answered,
2024-04-19T16:27:57.878Z,Activity,Instructor,PE,Prompted Explanation,
2024-04-19T16:28:01.970Z,Activity,Student,SA,Student Answered,
2024-04-19T16:28:03.622Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:28:12.176Z,Activity,Instructor,PE,Prompted Explanation,
2024-04-19T16:28:14.152Z,Activity,Student,SA,Student Answered,
2024-04-19T16:28:20.810Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:28:28.614Z,Activity,Instructor,PE,Prompted Explanation,
2024-04-19T16:28:34.332Z,Activity,Student,SA,Student Answered,
2024-04-19T16:28:36.540Z,Activity,Instructor,LEF,Logic Explained / Feedback,
2024-04-19T16:28:42.111Z,Activity,Instructor,PE,Prompted Explanation,
2024-04-19T16:28:47.938Z,Activity,Student,SA,Student Answered,
